Id,MSSubClass,MSZoning,LotFrontage,SalePrice
1,60,RL,65,208500
2,20,RL,80,181500
3,60,RL,68,223500
4,70,RL,60,140000
5,60,RL,84,250000
6,50,RL,85,143000
7,20,RL,75,307000
8,60,RL,NA,200000
9,50,RM,51,129900
10,190,RL,50,118000
11,20,RL,70,129500
12,60,RL,85,345000
13,20,RL,NA,144000
14,20,RL,91,279500
15,20,RL,NA,157000
16,45,RM,51,132000
17,20,RL,NA,149000
18,90,RL,72,90000
19,20,RL,66,159000
20,20,RL,70,139000
21,60,RL,101,325300
22,45,RM,57,139400
23,20,RL,75,230000
24,120,RM,44,129900
25,20,RL,NA,154000
26,20,RL,110,256300
27,20,RL,60,134800
28,20,RL,98,306000
29,20,RL,47,207500
30,30,RM,60,68500
31,70,C (all),50,40000
32,20,RL,NA,149350
33,20,RL,85,179900
34,20,RL,70,165500
35,120,RL,60,277500
36,60,RL,108,309000
37,20,RL,112,145000
38,20,RL,74,153000
39,20,RL,68,109000
40,90,RL,65,82000
41,20,RL,84,160000
42,20,RL,115,170000
43,85,RL,NA,144000
44,20,RL,NA,130250
45,20,RL,70,141000
46,120,RL,61,319900
47,50,RL,48,239686
48,20,FV,84,249700
49,190,RM,33,113000
50,20,RL,66,127000
51,60,RL,NA,177000
52,50,RM,52,114500
53,90,RM,110,110000
54,20,RL,68,385000
55,80,RL,60,130000
56,20,RL,100,180500
57,160,FV,24,172500
58,60,RL,89,196500
59,60,RL,66,438780
60,20,RL,60,124900
61,20,RL,63,158000
62,75,RM,60,101000
63,120,RL,44,202500
64,70,RM,50,140000
65,60,RL,NA,219500
66,60,RL,76,317000
67,20,RL,NA,180000
68,20,RL,72,226000
69,30,RM,47,80000
70,50,RL,81,225000
71,20,RL,95,244000
72,20,RL,69,129500
73,60,RL,74,185000
74,20,RL,85,144900
75,50,RM,60,107400
76,180,RM,21,91000
77,20,RL,NA,135750
78,50,RM,50,127000
79,90,RL,72,136500
80,50,RM,60,110000
81,60,RL,100,193500
82,120,RM,32,153500
83,20,RL,78,245000
84,20,RL,80,126500
85,80,RL,NA,168500
86,60,RL,121,260000
87,60,RL,122,174000
88,160,FV,40,164500
89,50,C (all),105,85000
90,20,RL,60,123600
91,20,RL,60,109900
92,20,RL,85,98600
93,30,RL,80,163500
94,190,C (all),60,133900
95,60,RL,69,204750
96,60,RL,NA,185000
97,20,RL,78,214000
98,20,RL,73,94750
99,30,RL,85,83000
100,20,RL,77,128950
101,20,RL,NA,205000
102,60,RL,77,178000
103,90,RL,64,118964
104,20,RL,94,198900
105,50,RM,NA,169500
106,60,FV,75,250000
107,30,RM,60,100000
108,20,RM,50,115000
109,50,RM,85,115000
110,20,RL,105,190000
111,50,RL,75,136900
112,80,RL,NA,180000
113,60,RL,77,383970
114,20,RL,NA,217000
115,70,RL,61,259500
116,160,FV,34,176000
117,20,RL,NA,139000
118,20,RL,74,155000
119,60,RL,90,320000
120,60,RL,65,163990
121,80,RL,NA,180000
122,50,RM,50,100000
123,20,RL,75,136000
124,120,RL,55,153900
125,20,RL,48,181000
126,190,RM,60,84500
127,120,RL,NA,128000
128,45,RM,55,87000
129,60,RL,69,155000
130,20,RL,69,150000
131,60,RL,88,226000
132,60,RL,NA,244000
133,20,RL,75,150750
134,20,RL,NA,220000
135,20,RL,78,180000
136,20,RL,80,174000
137,20,RL,NA,143000
138,90,RL,82,171000
139,60,RL,73,230000
140,60,RL,65,231500
141,20,RL,70,115000
142,20,RL,78,260000
143,50,RL,71,166000
144,20,RL,78,204000
145,90,RM,70,125000
146,160,RM,24,130000
147,30,RM,51,105000
148,60,RL,NA,222500
149,20,RL,63,141000
150,50,RM,NA,115000
151,20,RL,120,122000
152,20,RL,107,372402
153,60,RL,NA,190000
154,20,RL,NA,235000
155,30,RM,84,125000
156,50,RL,60,79000
157,20,RL,60,109500
158,60,RL,92,269500
159,60,FV,100,254900
160,60,RL,134,320000
161,20,RL,NA,162500
162,60,RL,110,412500
163,20,RL,95,220000
164,45,RL,55,103200
165,40,RM,40,152000
166,190,RL,62,127500
167,20,RL,NA,190000
168,60,RL,86,325624
169,60,RL,62,183500
170,20,RL,NA,228000
171,50,RM,NA,128500
172,20,RL,141,215000
173,160,RL,44,239000
174,20,RL,80,163000
175,20,RL,47,184000
176,20,RL,84,243000
177,60,RL,97,211000
178,50,RL,NA,172500
179,20,RL,63,501837
180,30,RM,60,100000
181,160,FV,NA,177000
182,70,RL,54,200100
183,20,RL,60,120000
184,50,RM,63,200000
185,50,RL,92,127000
186,75,RM,90,475000
187,80,RL,NA,173000
188,50,RL,60,135000
189,90,RL,64,153337
190,120,RL,41,286000
191,70,RL,70,315000
192,60,RL,NA,184000
193,20,RL,68,192000
194,160,RM,24,130000
195,20,RL,60,127000
196,160,RL,24,148500
197,20,RL,79,311872
198,75,RL,174,235000
199,75,RM,92,104000
200,20,RL,76,274900
201,20,RM,80,140000
202,20,RL,75,171500
203,50,RL,50,112000
204,120,RM,NA,149000
205,50,RM,50,110000
206,20,RL,99,180500
207,20,RL,40,143900
208,20,RL,NA,141000
209,60,RL,NA,277000
210,20,RL,75,145000
211,30,RL,67,98000
212,20,RL,83,186000
213,60,FV,72,252678
214,20,RL,43,156000
215,60,RL,NA,161750
216,20,RL,72,134450
217,20,RL,65,210000
218,70,RM,57,107000
219,50,RL,NA,311500
220,120,RL,43,167240
221,20,RL,73,204900
222,60,RL,NA,200000
223,60,RL,85,179900
224,20,RL,70,97000
225,20,RL,103,386250
226,160,RM,21,112000
227,60,RL,82,290000
228,160,RM,21,106000
229,20,RL,70,125000
230,120,RL,43,192500
231,20,RL,73,148000
232,60,RL,174,403000
233,160,RM,21,94500
234,20,RL,75,128200
235,60,RL,NA,216500
236,160,RM,21,89500
237,20,RL,65,185500
238,60,RL,NA,194500
239,20,RL,93,318000
240,50,RL,52,113000
241,20,FV,75,262500
242,30,RM,40,110500
243,50,RM,63,79000
244,160,RL,75,120000
245,60,RL,NA,205000
246,20,RL,80,241500
247,190,RM,69,137000
248,20,RL,75,140000
249,60,RL,72,180000
250,50,RL,NA,277000
251,30,RL,55,76500
252,120,RM,44,235000
253,60,RL,65,173000
254,80,RL,85,158000
255,20,RL,70,145000
256,60,RL,66,230000
257,60,FV,64,207500
258,20,RL,68,220000
259,60,RL,80,231500
260,20,RM,70,97000
261,80,RL,120,176000
262,60,RL,69,276000
263,80,RL,88,151000
264,50,RM,50,130000
265,30,RM,30,73000
266,20,RL,78,175500
267,60,RL,70,185000
268,75,RL,60,179500
269,30,RM,71,120500
270,20,RL,NA,148000
271,60,FV,84,266000
272,20,RL,73,241500
273,60,RL,92,290000
274,20,RL,80,139000
275,20,RL,76,124500
276,50,RL,55,205000
277,20,RL,129,201000
278,20,RL,140,141000
279,20,RL,107,415298
280,60,RL,83,192000
281,60,RL,82,228500
282,20,FV,60,185000
283,120,RL,34,207500
284,20,RL,74,244600
285,120,RL,50,179200
286,160,FV,35,164700
287,50,RL,77,159000
288,20,RL,NA,88000
289,20,RL,NA,122000
290,70,RL,60,153575
291,60,RL,120,233230
292,190,RL,55,135900
293,50,RL,60,131000
294,60,RL,NA,235000
295,20,RL,80,167000
296,80,RL,37,142500
297,50,RM,75,152000
298,60,FV,66,239000
299,60,RL,90,175000
300,20,RL,80,158500
301,190,RL,90,157000
302,60,RL,66,267000
303,20,RL,118,205000
304,20,RL,70,149900
305,75,RM,87,295000
306,20,RL,80,305900
307,60,RL,116,225000
308,50,RM,NA,89500
309,30,RL,NA,82500
310,20,RL,90,360000
311,60,RL,NA,165600
312,20,RL,50,132000
313,190,RM,65,119900
314,20,RL,150,375000
